Start: (4.89, 3.32), Iterations: 93.0, Height: 0.291594 
Start: (5.42, 3.32), Iterations: 87.0, Height: 1.056492 
Start: (5.95, 3.32), Iterations: 13.0, Height: 0.744147 
Start: (6.47, 3.32), Iterations: 100.0, Height: 0.233544 
Start: (7.00, 3.32), Iterations: 100.0, Height: 2.275437 
Start: (-3.00, 3.84), Iterations: 100.0, Height: 0.276748 
Start: (-2.47, 3.84), Iterations: 61.0, Height: 2.464491 
Start: (-1.95, 3.84), Iterations: 87.0, Height: 0.291594 
Start: (-1.42, 3.84), Iterations: 47.0, Height: 3.000000 
Start: (-0.89, 3.84), Iterations: 33.0, Height: 0.233544 
Start: (-0.37, 3.84), Iterations: 27.0, Height: 3.000000 
Start: (0.16, 3.84), Iterations: 93.0, Height: 3.000000 
Start: (0.68, 3.84), Iterations: 65.0, Height: 2.464491 
Start: (1.21, 3.84), Iterations: 13.0, Height: 0.291594 
Start: (1.74, 3.84), Iterations: 85.0, Height: 1.646255 
Start: (2.26, 3.84), Iterations: 53.0, Height: 2.069271 
Start: (2.79, 3.84), Iterations: 27.0, Height: 3.000000 
Start: (3.32, 3.84), Iterations: 65.0, Height: 0.744147 
Start: (3.84, 3.84), Iterations: 73.0, Height: 3.000000 
Start: (4.37, 3.84), Iterations: 93.0, Height: 3.000000 
Start: (4.89, 3.84), Iterations: 67.0, Height: 0.567170 
Start: (5.42, 3.84), Iterations: 73.0, Height: 3.000000 
Start: (5.95, 3.84), Iterations: 47.0, Height: 2.275437 
Start: (6.47, 3.84), Iterations: 21.0, Height: 2.275437 
Start: (7.00, 3.84), Iterations: 47.0, Height: 2.464491 
Start: (-3.00, 4.37), Iterations: 25.0, Height: 3.000000 
Start: (-2.47, 4.37), Iterations: 27.0, Height: 1.854695 
Start: (-1.95, 4.37), Iterations: 61.0, Height: 0.196794 
Start: (-1.42, 4.37), Iterations: 85.0, Height: 0.233544 
Start: (-0.89, 4.37), Iterations: 85.0, Height: 3.000000 
Start: (-0.37, 4.37), Iterations: 65.0, Height: 2.397101 
Start: (0.16, 4.37), Iterations: 33.0, Height: 0.276748 
Start: (0.68, 4.37), Iterations: 27.0, Height: 2.081189 
Start: (1.21, 4.37), Iterations: 53.0, Height: 1.646255 
Start: (1.74, 4.37), Iterations: 27.0, Height: 0.744147 
Start: (2.26, 4.37), Iterations: 13.0, Height: 1.207130 
Start: (2.79, 4.37), Iterations: 85.0, Height: 3.000000 
Start: (3.32, 4.37), Iterations: 93.0, Height: 0.233544 
Start: (3.84, 4.37), Iterations: 87.0, Height: 0.196794 
Start: (4.37, 4.37), Iterations: 13.0, Height: 0.276748 
Start: (4.89, 4.37), Iterations: 21.0, Height: 3.000000 
Start: (5.42, 4.37), Iterations: 47.0, Height: 0.744147 
Start: (5.95, 4.37), Iterations: 81.0, Height: 0.291594 
Start: (6.47, 4.37), Iterations: 61.0, Height: 3.000000 
Start: (7.00, 4.37), Iterations: 47.0, Height: 1.056492 
Start: (-3.00, 4.89), Iterations: 7.0, Height: 1.646255 
Start: (-2.47, 4.89), Iterations: 93.0, Height: 0.291594 
Start: (-1.95, 4.89), Iterations: 100.0, Height: 0.196794 
Start: (-1.42, 4.89), Iterations: 73.0, Height: 2.397101 
Start: (-0.89, 4.89), Iterations: 27.0, Height: 1.056492 
Start: (-0.37, 4.89), Iterations: 93.0, Height: 1.646255 
Start: (0.16, 4.89), Iterations: 81.0, Height: 0.291594 
Start: (0.68, 4.89), Iterations: 25.0, Height: 2.069271 
Start: (1.21, 4.89), Iterations: 53.0, Height: 0.233544 
Start: (1.74, 4.89), Iterations: 45.0, Height: 2.081189 
Start: (2.26, 4.89), Iterations: 47.0, Height: 3.000000 
Start: (2.79, 4.89), Iterations: 61.0, Height: 1.854695 
Start: (3.32, 4.89), Iterations: 87.0, Height: 3.000000 
Start: (3.84, 4.89), Iterations: 45.0, Height: 1.056492 
Start: (4.37, 4.89), Iterations: 41.0, Height: 1.854695 
Start: (4.89, 4.89), Iterations: 65.0, Height: 2.069271 
Start: (5.42, 4.89), Iterations: 13.0, Height: 2.464491 
Start: (5.95, 4.89), Iterations: 100.0, Height: 0.233544 
Start: (6.47, 4.89), Iterations: 85.0, Height: 2.289754 
Start: (7.00, 4.89), Iterations: 53.0, Height: 2.464491 
Start: (-3.00, 5.42), Iterations: 27.0, Height: 2.464491 
Start: (-2.47, 5.42), Iterations: 81.0, Height: 3.000000 
Start: (-1.95, 5.42), Iterations: 53.0, Height: 3.000000 
Start: (-1.42, 5.42), Iterations: 61.0, Height: 0.276748 
Start: (-0.89, 5.42), Iterations: 13.0, Height: 1.646255 
Start: (-0.37, 5.42), Iterations: 65.0, Height: 2.289754 
Start: (0.16, 5.42), Iterations: 67.0, Height: 0.233544 
Start: (0.68, 5.42), Iterations: 67.0, Height: 2.397101 
Start: (1.21, 5.42), Iterations: 47.0, Height: 1.207130 
Start: (1.74, 5.42), Iterations: 93.0, Height: 3.000000 
Start: (2.26, 5.42), Iterations: 87.0, Height: 1.854695 
Start: (2.79, 5.42), Iterations: 61.0, Height: 2.081189 
Start: (3.32, 5.42), Iterations: 47.0, Height: 0.567170 
Start: (3.84, 5.42), Iterations: 93.0, Height: 2.397101 
Start: (4.37, 5.42), Iterations: 61.0, Height: 2.289754 
Start: (4.89, 5.42), Iterations: 13.0, Height: 3.000000 
Start: (5.42, 5.42), Iterations: 41.0, Height: 0.233544 
Start: (5.95, 5.42), Iterations: 47.0, Height: 0.567170 
Start: (6.47, 5.42), Iterations: 100.0, Height: 0.567170 
Start: (7.00, 5.42), Iterations: 93.0, Height: 2.397101 
Start: (-3.00, 5.95), Iterations: 87.0, Height: 0.276748 
Start: (-2.47, 5.95), Iterations: 21.0, Height: 0.744147 
Start: (-1.95, 5.95), Iterations: 100.0, Height: 3.000000 
Start: (-1.42, 5.95), Iterations: 45.0, Height: 2.081189 
Start: (-0.89, 5.95), Iterations: 85.0, Height: 0.276748 
Start: (-0.37, 5.95), Iterations: 81.0, Height: 3.000000 
Start: (0.16, 5.95), Iterations: 25.0, Height: 0.276748 
Start: (0.68, 5.95), Iterations: 45.0, Height: 2.081189 
Start: (1.21, 5.95), Iterations: 73.0, Height: 0.744147 
Start: (1.74, 5.95), Iterations: 100.0, Height: 2.464491 
Start: (2.26, 5.95), Iterations: 81.0, Height: 3.000000 
Start: (2.79, 5.95), Iterations: 87.0, Height: 0.744147 
Start: (3.32, 5.95), Iterations: 100.0, Height: 2.081189 
Start: (3.84, 5.95), Iterations: 81.0, Height: 1.646255 
Start: (4.37, 5.95), Iterations: 33.0, Height: 2.069271 
Start: (4.89, 5.95), Iterations: 93.0, Height: 1.056492 
Start: (5.42, 5.95), Iterations: 13.0, Height: 2.289754 
Start: (5.95, 5.95), Iterations: 81.0, Height: 1.646255 
Start: (6.47, 5.95), Iterations: 45.0, Height: 0.291594 
Start: (7.00, 5.95), Iterations: 87.0, Height: 1.854695 
Start: (-3.00, 6.47), Iterations: 47.0, Height: 0.744147 
Start: (-2.47, 6.47), Iterations: 13.0, Height: 0.233544 
Start: (-1.95, 6.47), Iterations: 41.0, Height: 1.646255 
Start: (-1.42, 6.47), Iterations: 53.0, Height: 2.069271 
Start: (-0.89, 6.47), Iterations: 100.0, Height: 2.289754 
Start: (-0.37, 6.47), Iterations: 33.0, Height: 2.397101 
Start: (0.16, 6.47), Iterations: 41.0, Height: 0.744147 
Start: (0.68, 6.47), Iterations: 41.0, Height: 2.081189 
Start: (1.21, 6.47), Iterations: 61.0, Height: 0.291594 
Start: (1.74, 6.47), Iterations: 61.0, Height: 0.567170 
Start: (2.26, 6.47), Iterations: 41.0, Height: 2.069271 
Start: (2.79, 6.47), Iterations: 13.0, Height: 2.069271 
Start: (3.32, 6.47), Iterations: 61.0, Height: 1.646255 
Start: (3.84, 6.47), Iterations: 45.0, Height: 2.081189 
Start: (4.37, 6.47), Iterations: 93.0, Height: 2.464491 
Start: (4.89, 6.47), Iterations: 21.0, Height: 2.275437 
Start: (5.42, 6.47), Iterations: 25.0, Height: 0.233544 
Start: (5.95, 6.47), Iterations: 65.0, Height: 1.854695 
Start: (6.47, 6.47), Iterations: 47.0, Height: 2.397101 
Start: (7.00, 6.47), Iterations: 100.0, Height: 1.854695 
Start: (-3.00, 7.00), Iterations: 53.0, Height: 0.291594 
Start: (-2.47, 7.00), Iterations: 41.0, Height: 1.056492 
Start: (-1.95, 7.00), Iterations: 33.0, Height: 1.854695 
Start: (-1.42, 7.00), Iterations: 85.0, Height: 2.069271 
